slug,ubc_page_title,found_title,ubc_author,pub_year,ubc_description,ol_title,ol_author,ol_isbn,ol_cover,source_url
using-literature-tool-bullying-confronting-bullying-book,Using literature as a tool against bullying: Confronting Bullying book,Using literature as a tool against bullying,,,,,,,,https://www.selresources.com/sel/using-literature-tool-bullying-confronting-bullying-book/
book-help-bully-proof-school,A Book to Help Bully,A Book to Help Bully,"Carla Garrity, Kathryn Jens",2000,,Bully-proofing your school,"Carla Garrity, Kathryn Jens",9781570352799,https://covers.openlibrary.org/b/id/1914195-M.jpg,https://www.selresources.com/sel/book-help-bully-proof-school/
sel-picture-book-series-pre-k-grade-2,SEL picture book series for pre,SEL picture book series for pre,,,,,,,,https://www.selresources.com/sel/sel-picture-book-series-pre-k-grade-2/
using-adventure-create-community-classroom,Using Adventure to Create Community in the Classroom,Using Adventure to Create Community in the Classroom,,,"Journey Toward the Caring Classroom, written by Laurie Frank, brings experiential learning into the classroom as a way to build a learning environment which revolves around community, where students feel valued, safe and free to make and learn from mistakes, and where teachers are facilitators and e",,,,,https://www.selresources.com/sel/using-adventure-create-community-classroom/
fostering-self-regulated-learning-classroom,Fostering self,Fostering self,Giuliana Dettori,2010,"This book is written by Deborah Butler, Nancy Perry and Leyton Schnellert, professors in special education and educational psychology at the University of British Columbia. Designed for educators who want to learn about self-regulated learning (SRL), and support the development of self-regulating le",Fostering Selfregulated Learning Through Ict,Giuliana Dettori,9781616929039,https://covers.openlibrary.org/b/id/7492565-M.jpg,https://www.selresources.com/sel/fostering-self-regulated-learning-classroom/
advice-parents-teachers-end-bullying,Advice for Parents and Teachers on How to End Bullying,Advice for Parents and Teachers on How to End Bullying,,,"Written by parent and popular blogger Carrie Goldman, and endorsed by top bullying experts, this book provides realistic and practical advice for parents, teachers and students about how to address both face-to-face and online bullying. Grounded in up-to-date research and backed by scientific eviden",,,,,https://www.selresources.com/sel/advice-parents-teachers-end-bullying/
working-sexual-gender-minority-students-families,Working with Sexual and Gender Minority Students and their Families,Working with Sexual and Gender Minority Students and their Families,Emily S. Fisher,2012,,"Responsive school practices to support lesbian, gay, bisexual, transgender, and questioning students and families",Emily S. Fisher,9781136813290,https://covers.openlibrary.org/b/id/9301985-M.jpg,https://www.selresources.com/sel/working-sexual-gender-minority-students-families/
helping-children-develop-social-skills-friendship-groups,Helping children develop social skills in Friendship Groups,Helping children develop social skills in Friendship Groups,,,"Social and Emotional Skills Training for Children is the manual for the Friendship Group program, an evidence-based, group-intervention for elementary school children experiencing peer difficulties at school. Authored by researchers in child development and psychology, Karen L. Bierman, Mark T. Gree",,,,,https://www.selresources.com/sel/helping-children-develop-social-skills-friendship-groups/
creating-healthy-classrooms-encourage-learning,Creating Healthy Classrooms that Encourage Learning,Creating Healthy Classrooms that Encourage Learning,,,,,,,,https://www.selresources.com/sel/creating-healthy-classrooms-encourage-learning/
peer-assisted-learning-strategies,Peer,Peer,Douglas Fuchs,1996,,Peer-assisted learning strategies,Douglas Fuchs,,,https://www.selresources.com/sel/peer-assisted-learning-strategies/
