slug,ubc_page_title,found_title,ubc_author,pub_year,ubc_description,ol_title,ol_author,ol_isbn,ol_cover,source_url
using-anger-positively-to-meet-needs,The Surprising Purpose of Anger,The Surprising Purpose of Anger,Marshall B. Rosenberg,2005,"Published in 2005, this book aims to challenge the reader that anger can be used positively, outlining four key truths: people or events may spark your anger caused by your own judgements, judging others prevents connection, being clear about your needs helps to identify solutions, and meeting your ",The Surprising Purpose of Anger: Beyond Anger Management,Marshall B. Rosenberg,9788415053453,https://covers.openlibrary.org/b/id/940699-M.jpg,https://www.selresources.com/sel/using-anger-positively-to-meet-needs/
classroom-management-for-canadian-educators,Principles of Classroom Management,Principles of Classroom Management,"Levin, James, James Levin",1991,"Written by Levin, Nolan, Kerr, Elliot, and Bajovic, the Fourth Canadian Edition of this book provides a theoretically-based, practical system for helping teachers prevent disruptive behaviour and promote appropriate behaviour. The system is rooted in three foundational principles: that teachers and ",Principles of classroom management,"Levin, James, James Levin",9780205381234,https://covers.openlibrary.org/b/id/138029-M.jpg,https://www.selresources.com/sel/classroom-management-for-canadian-educators/
implement-both-cooperation-and-competition-in-the-classroom,Learning Together and Alone,Learning Together and Alone,David W. Johnson,1975,,Learning together and alone,David W. Johnson,9780135286548,https://covers.openlibrary.org/b/id/3937911-M.jpg,https://www.selresources.com/sel/implement-both-cooperation-and-competition-in-the-classroom/
helping-eoretically-based, practical system for helping teachers prevent disruptive behaviour and promote appropriate behaviour. The system is rooted in three foundational principles: that teachers and ",Principles of classroom management,"Levin, James, James Levin",9780205381234,https://covers.openlibrary.org/b/id/138029-M.jpg,https://www.selresources.com/sel/classroom-management-for-canadian-educators/
implement-both-cooperation-and-competition-in-the-classroom,Learning Together and Alone,Learning Together and Alone,David W. Johnson,1975,,Learning together and alone,David W. Johnson,9780135286548,https://covers.openlibrary.org/b/id/3937911-M.jpg,https://www.selresources.com/sel/implement-both-cooperation-and-competition-in-the-classroom/
helping-young-people-learn-self-regulation,Helping Young People Learn Self,Helping Young People Learn Self,Matthew Penner Brad Chapin,2011,"Published in 2008, this book is designed to address children’s anger problems, academic performance challenges, and anxieties, as well as school safety issues, self-esteem, and more. The self-regulation training process is divided into three functional areas &#8212; physical, emotional, and cognitiv",Helping Young People Learn Self-Regulation,Matthew Penner Brad Chapin,9781598501124,,https://www.selresources.com/sel/helping-young-people-learn-self-regulation/
a-collaborative-system-for-school-improvement,Pyramids of Behaviour Interventions,Pyramids of Behaviour Interventions,,,"Published in 2011, this book aims to simplify the complexity of school improvement efforts to help schools create a positive learning environment in which both students and staff are inspired to do their best. Outlined is a system in which teachers work collaboratively to support both the learning a",,,,,https://www.selresources.com/sel/a-collaborative-system-for-school-improvement/
activities-discussions-and-assignments-for-middle-school-emotional-literacy,Emotional Literacy in the Middle School,Emotional Literacy in the Middle School,Marvin Maurer,2004,"Published in 2004, this book outlines a 6-step program that engages the intellectual, emotional, and social framework of the individual to develop self- and social-awareness, acquisition of a diverse vocabulary to identify and express emotional experiences, understand the relationships between thoug",Emotional Literacy in the Middle School,Marvin Maurer,9781887943741,https://covers.openlibrary.org/b/id/2090168-M.jpg,https://www.selresources.com/sel/activities-discussions-and-assignments-for-middle-school-emotional-literacy/
games-role-plays-and-worksheets-for-teaching-empathy,Teaching Children Empathy,Teaching Children Empathy,Tonia Caselman,2007,"Published in 2007, this book provides teachers, counselors, school social workers, psychologists, and other professional caregivers with a variety of activities to help K-6 students think about and practice strategies to foster empathy, connectedness with others, and perspective-taking, helping scho","Teaching Children Empathy, The Social Emotion",Tonia Caselman,9781598500141,,https://www.selresources.com/sel/games-role-plays-and-worksheets-for-teaching-empathy/
a-morning-routine-to-foster-community,The Morning Meeting Book,The Morning Meeting Book,Roxann Kriete,1999,"Published in 2002, this book describes the Morning Meeting, a daily routine designed for use at the beginning of the school day to bring students and teachers together in a circle to greet one another, share and respond to each other’s news, think and play together, and prepare for the events of the",The morning meeting book,Roxann Kriete,9781892989093,https://covers.openlibrary.org/b/id/942077-M.jpg,https://www.selresources.com/sel/a-morning-routine-to-foster-community/
teach-students-connections-between-behaviours-and-consequences,Social Behaviour Mapping,Social Behaviour Mapping,,,"Published in 2010, this book outlines the concept of Social Behaviour Mapping (SBM), which teaches students how their “expected” versus “unexpected” behaviour impacts others, and feelings about themselves and the people around them. The tool also helps students develop a better understanding of how ",,,,,https://www.selresources.com/sel/teach-students-connections-between-behaviours-and-consequences/
strategies-for-students-to-foster-friendships,Making Friends,Making Friends,,,"Published in 1991, this book aims includes ideas and strategies for fostering positive relationships, with the primary message that if you want friendship, you must be a friend first. The author outlines elements of making friends such as prevailing over gossip, pettiness and anger, judging others, ",,,,,https://www.selresources.com/sel/strategies-for-students-to-foster-friendships/
exercises-to-enhance-relationships-and-reduce-conflict,Life,Life,,,"Published in 2003, this book describes the process of life-enriching education, with a goal of educating this and future generations of children to create organizations to meet human needs and enhance education. The author describes key elements of life-enriching education for parents, teachers, and",,,,,https://www.selresources.com/sel/exercises-to-enhance-relationships-and-reduce-conflict/
developing-multiple-intelligences-to-create-civic-minded-students,EQ + IQ = Best Leadership Practices,EQ + IQ = Best Leadership Practices,,,"Published in 2003, this book suggests that combining emotional intelligence (EQ) with academic intelligence (IQ) is essential for developing knowledgeable, caring, healthy, and successful students in today’s world. It also suggests that social-emotional learning (SEL) skills enable students to maste",,,,,https://www.selresources.com/sel/developing-multiple-intelligences-to-create-civic-minded-students/
working-through-scenarios-and-illustrations-to-develop-empathy-trust-and-respect,Teaching Our Children Caring,Teaching Our Children Caring,,,"Published in 1996, this book emphasizes the necessity of imparting caring attitudes and teaching caring skills to children. Included are parts which focus on parents teaching caring attitudes, as well as 13 session outlines addressing topics such as empathy, trust, and respect. It details a program ",,,,,https://www.selresources.com/sel/working-through-scenarios-and-illustrations-to-develop-empathy-trust-and-respect/
tribes-a-process-to-develop-communities-and-collaboration-in-schools,TRIBES book,TRIBES book,,,"Published in 2007, this book outlines the why, what, and how of using the process of Tribes Learning Communities® for individuals at the management and leadership level. Facilitating the process outlined in this book is intended to develop community and collaboration throughout the entire educationa",,,,,https://www.selresources.com/sel/tribes-a-process-to-develop-communities-and-collaboration-in-schools/
equipping-students-with-friendship-building-skills,"Nobody Likes Me, Everybody Hates Me","Nobody Likes Me, Everybody Hates Me","Michele, Ed.D. Borba",2005,"Published in 2005, this book is a resource designed for parents and teachers of children aged 4-15 to resolve problems such as a child being left out by other kids, following the crowd, or helping a child handle issues such as being too competitive or shy. Based on a survey of 5000 teachers, its goa","Nobody Likes Me, Everybody Hates Me","Michele, Ed.D. Borba",9780787976620,https://covers.openlibrary.org/b/id/549395-M.jpg,https://www.selresources.com/sel/equipping-students-with-friendship-building-skills/
activities-to-recognize-control-and-utilize-anger,A Volcano in My Tummy,A Volcano in My Tummy,"Warwick Pudney, Eliane Whitehouse",1994,"Published in 1996, this resource book for teachers, parents, and caregivers is about living successfully, non-violently, without fear and with good relationships. Goals of this book include awareness of anger, distinguishing between emotions and behaviour, learning alternatives to physical and verba",A volcano in my tummy,"Warwick Pudney, Eliane Whitehouse",9781771423557,https://covers.openlibrary.org/b/id/7315664-M.jpg,https://www.selresources.com/sel/activities-to-recognize-control-and-utilize-anger/
a-resource-for-educators-to-develop-empathic-intelligence,Empathic Intelligence,Empathic Intelligence,Roslyn Arnold,2005,"Published in 2005, this book aims to provide new and experienced teachers, leaders, and others with influencing conceptual frameworks to develop a personally meaningful theoretical position regarding empathic intelligence. It outlines how to model empathic intelligence to those with whom they intera",Empathic Intelligence,Roslyn Arnold,9780868405919,https://covers.openlibrary.org/b/id/2671431-M.jpg,https://www.selresources.com/sel/a-resource-for-educators-to-develop-empathic-intelligence/
using-interactive-theatre-techniques-to-enhance-communication,The Hope is Vital Training Manual,The Hope is Vital Training Manual,,,"Published in 1998, this book is a collection of interactive theatre techniques designed to give educators, community workers, youth and others tools to engage in community dialogue and problem solving. It follows an arc, beginning with warmup and bridge activities designed to first build trust, focu",,,,,https://www.selresources.com/sel/using-interactive-theatre-techniques-to-enhance-communication/
an-exploration-of-cultural-diversity-through-art,We Are All Related,We Are All Related,,,"Published in 1996, this book is a collection of art accompanied by written commentary, created by a Canadian, cross-cultural group of 8- to 12-year-old students from diverse backgrounds. It was created in an effort to break down stereotypes and foster understanding between groups through work which ",,,,,https://www.selresources.com/sel/an-exploration-of-cultural-diversity-through-art/
practical-strategies-and-techniques-for-behaviour-management,Getting the Buggers to Behave,Getting the Buggers to Behave,Sue Cowley,2010,"Published in 2010, Getting the Buggers to Behave provides practical ideas and equips teachers with realistic strategies for classroom management that can be put to immediate use with students and youth in an effort to have them meet behavioural expectations. Included are sections describing the basi",Getting the buggers to behave,Sue Cowley,9781472909213,https://covers.openlibrary.org/b/id/8654064-M.jpg,https://www.selresources.com/sel/practical-strategies-and-techniques-for-behaviour-management/
a-youth-specific-assertiveness-model,A Youth,A Youth,,,"Safeteen is an assertiveness training program designed to promote youth empowerment and safety in schools. Published in 2001, this book includes a breakdown of the skills that are taught within the Safeteen programs, and the issues which underscore the work. Included are contemporary scenarios of te",,,,,https://www.selresources.com/sel/a-youth-specific-assertiveness-model/
inspiring-teens-to-persevere,The Courage to Change,The Courage to Change,,,"Published in 2001, this book is a compilation of stories and poems written by youth who speak honestly about the devastating effect of violence on their lives, with an emphasis on hope and courage in the face of adversity. These pieces offer insight into their experiences, and their ability to endur",,,,,https://www.selresources.com/sel/inspiring-teens-to-persevere/
empowering-teen-leaders-in-bully-prevention,Bully Busters Book,Bully Busters Book,John William Yee,1997,"This book, published in 2012, outlines the Bully Busters Program for High School, a schoolwide program that focuses on empowering older students who serve as peer mentors. These students are selected and undergo intensive training to lead small group sessions for younger students on bullying-related","The Bully Buster Book (Streetproofing for Kids Series , Vol 1)",John William Yee,9781896212036,https://covers.openlibrary.org/b/id/2101161-M.jpg,https://www.selresources.com/sel/empowering-teen-leaders-in-bully-prevention/
a-comprehensive-school-based-approach-to-bullying-prevention-and-intervention,The Anti,The Anti,Dr,,"The Anti-Bullying Handbook, written by Dr. Keith Sullivan in New Zealand, provides a comprehensive overview of the key issues in bullying, and extensive information on bullying prevention and intervention. Published in 2000, the book focuses on four goals, as summarized by Sullivan in the introducti",,,,,https://www.selresources.com/sel/a-comprehensive-school-based-approach-to-bullying-prevention-and-intervention/
how-teachers-can-support-moral-development-in-their-classrooms,Nice is Not Enough,Nice is Not Enough,C. J. Pascoe,2023,"Nice is Not Enough, written by Larry Nucci, provides an in-depth understanding of moral development from the early elementary school ages through to high school, and is a practical guide for teachers to support moral and social development in their classrooms. Published in 2009, the book is organize",Nice Is Not Enough,C. J. Pascoe,9780520418332,https://covers.openlibrary.org/b/id/14720044-M.jpg,https://www.selresources.com/sel/how-teachers-can-support-moral-development-in-their-classrooms/
a-curriculum-for-teaching-non-violence-to-children,The Compassionate Classroom,The Compassionate Classroom,"Sura Hart, Victoria Kindle Hodson",2004,"The Compassionate Classroom, written by Sura Hart and Victoria Kindle Hodson, provides a curriculum and tools for teaching nonviolent communication to elementary students. Published in 2004, the book describes a relationship-centered classroom model that aims to reduce conflict and improve trust, co",The compassionate classroom,"Sura Hart, Victoria Kindle Hodson",9781892005069,https://covers.openlibrary.org/b/id/940690-M.jpg,https://www.selresources.com/sel/a-curriculum-for-teaching-non-violence-to-children/
beyond-blaming-a-book-of-tools-for-students-to-help-them-resolve-conflict,The No,The No,,,"The no-fault classroom, written by Sura Hart and Victoria Kindle Hodson, provides a curriculum and tools that help students ages seven to twelve develop the understanding and skills to resolve conflicts themselves, in ways that considers everyone’s needs. Published in 2008, this book details 18 modu",,,,,https://www.selresources.com/sel/beyond-blaming-a-book-of-tools-for-students-to-help-them-resolve-conflict/
comparing-different-approaches-to-addressing-cases-of-bullying,Bullying Interventions in Schools,Bullying Interventions in Schools,Dr,2010,"Bullying Interventions in Schools, authored by Dr. Ken Rigby, a renowned scholar in school bullying, is an examination of six bullying intervention methods that engage directly with actual cases of bullying. First published in 2010, the book provides a detailed understanding of the following six app",Bullying interventions in schools,Ken Rigby,9780864319579,,https://www.selresources.com/sel/comparing-different-approaches-to-addressing-cases-of-bullying/
considering-the-viewpoints-of-bullies-and-victims-in-addressing-the-problem-the-method-of-shared-concern,The Method of Shared Concern book,The Method of Shared Concern book,Dr,,"Authored by Dr. Ken Rigby in Australia, an internationally recognized scholar on school bullying, this book offers an in-depth understanding of the Method of Shared Concern, a multistage process for dealing with bullying in schools. Based on a program originally developed by Anatol Pikas, a Swedish ",,,,,https://www.selresources.com/sel/considering-the-viewpoints-of-bullies-and-victims-in-addressing-the-problem-the-method-of-shared-concern/
a-book-for-understanding-and-addressing-bullying-in-schools,A book for addressing bullying in schools,A book for addressing bullying in schools,,,"Bullying Prevention and Intervention, authored by Swearer, Espelage, and Napolitano, offers research-based information and practical strategies for dealing with bullying in schools. Published in 2009, the book is organized into nine chapters, beginning with a comprehensive understanding of the bully",,,,,https://www.selresources.com/sel/a-book-for-understanding-and-addressing-bullying-in-schools/
a-useful-book-on-implementing-sel-in-grades-k-to-12,A practical book for implementing SEL in classrooms,A practical book for implementing SEL in classrooms,K.W,,"Social and Emotional Learning in the Classroom, authored by K.W. Merrell and B.A. Gueldner, offers comprehensive yet practical information for implementing SEL in grades K to 12. Published in 2010 as part of Guilford’s Practical Intervention in Schools Series, this book provides clear, objective gui",,,,,https://www.selresources.com/sel/a-useful-book-on-implementing-sel-in-grades-k-to-12/
